Date,wind_speed
2003-01-01,6.9
2003-01-01,10.1
2003-01-01,12.1
2003-01-01,6.7
2003-01-02,3.6
2003-01-02,9.6
2003-01-02,7.4
2003-01-02,4.7
2003-01-03,3.6
2003-01-03,2.9
2003-01-03,5.4
2003-01-03,3.8
2003-01-04,3.4
2003-01-04,1.8
2003-01-04,3.8
2003-01-04,5.4
2003-01-05,6.0
2003-01-05,6.9
2003-01-05,8.7
2003-01-05,6.5
2003-01-06,13.4
2003-01-06,21.7
2003-01-06,18.3
2003-01-06,14.3
2003-01-07,4.3
2003-01-07,9.4
2003-01-07,12.3
2003-01-07,6.3
2003-01-08,4.7
2003-01-08,2.5
2003-01-08,7.8
2003-01-08,3.8
2003-01-09,2.9
2003-01-09,2.5
2003-01-09,2.9
2003-01-09,2.9
2003-01-10,3.6
2003-01-10,0.9
2003-01-10,3.8
2003-01-10,2.0
2003-01-11,4.9
2003-01-11,2.7
2003-01-11,6.5
2003-01-11,3.6
2003-01-12,3.6
2003-01-12,2.9
2003-01-12,4.0
2003-01-12,4.7
2003-01-13,4.0
2003-01-13,2.0
2003-01-13,3.1
2003-01-13,5.6
2003-01-14,4.3
2003-01-14,2.0
2003-01-14,2.5
2003-01-14,4.5
2003-01-15,6.7
2003-01-15,11.0
2003-01-15,7.6
2003-01-15,4.5
2003-01-16,5.1
2003-01-16,11.6
2003-01-16,4.5
2003-01-16,5.6
2003-01-17,4.7
2003-01-17,5.6
2003-01-17,4.3
2003-01-17,4.9
2003-01-18,5.6
2003-01-18,3.8
2003-01-18,3.1
2003-01-18,6.7
2003-01-19,4.5
2003-01-19,3.1
2003-01-19,3.4
2003-01-19,6.5
2003-01-20,5.1
2003-01-20,4.5
2003-01-20,5.4
2003-01-20,6.5
2003-01-21,3.6
2003-01-21,2.0
2003-01-21,2.2
2003-01-21,1.6
2003-01-22,3.4
2003-01-22,0.9
2003-01-22,3.8
2003-01-22,4.7
2003-01-23,3.1
2003-01-23,2.2
2003-01-23,3.6
2003-01-23,4.7
2003-01-24,4.5
2003-01-24,4.9
2003-01-24,4.9
2003-01-24,4.7
2003-01-25,5.8
2003-01-25,10.5
2003-01-25,7.8
2003-01-25,8.1
2003-01-26,4.7
2003-01-26,4.7
2003-01-26,6.3
2003-01-26,6.0
2003-01-27,4.3
2003-01-27,3.4
2003-01-27,3.8
2003-01-27,4.7
2003-01-28,2.7
2003-01-28,2.5
2003-01-28,2.7
2003-01-28,4.3
2003-01-29,4.7
2003-01-29,2.9
2003-01-29,4.0
2003-01-29,5.6
2003-01-30,4.0
2003-01-30,4.7
2003-01-30,3.8
2003-01-30,4.5
2003-01-31,6.7
2003-01-31,6.7
2003-01-31,4.9
2003-01-31,6.3
2003-02-01,3.8
2003-02-01,4.3
2003-02-01,7.6
2003-02-01,4.5
2003-02-02,11.4
2003-02-02,11.2
2003-02-02,15.9
2003-02-02,6.9
2003-02-03,4.7
2003-02-03,9.8
2003-02-03,10.1
2003-02-03,4.7
2003-02-04,4.7
2003-02-04,3.4
2003-02-04,1.8
2003-02-04,4.7
2003-02-05,7.6
2003-02-05,15.2
2003-02-05,12.1
2003-02-05,6.9
2003-02-06,4.9
2003-02-06,4.3
2003-02-06,6.5
2003-02-06,5.6
2003-02-07,3.8
2003-02-07,9.6
2003-02-07,7.6
2003-02-07,5.8
2003-02-08,4.7
2003-02-08,6.0
2003-02-08,7.2
2003-02-08,4.7
2003-02-09,5.6
2003-02-09,3.8
2003-02-09,3.6
2003-02-09,5.6
2003-02-10,4.0
2003-02-10,7.6
2003-02-10,3.4
2003-02-10,3.8
2003-02-11,9.4
2003-02-11,9.2
2003-02-11,6.3
2003-02-11,5.1
2003-02-12,3.6
2003-02-12,4.0
2003-02-12,5.4
2003-02-12,4.3
2003-02-13,2.5
2003-02-13,2.0
2003-02-13,4.9
2003-02-13,3.1
2003-02-14,3.1
2003-02-14,3.4
2003-02-14,2.5
2003-02-14,2.9
2003-02-15,5.1
2003-02-15,2.2
2003-02-15,2.9
2003-02-15,3.6
2003-02-16,2.5
2003-02-16,2.5
2003-02-16,4.9
2003-02-16,2.2
2003-02-17,3.4
2003-02-17,3.4
2003-02-17,4.0
2003-02-17,4.7
2003-02-18,5.6
2003-02-18,2.0
2003-02-18,5.1
2003-02-18,2.9
2003-02-19,6.5
2003-02-19,5.6
2003-02-19,6.5
2003-02-19,6.7
2003-02-20,12.3
2003-02-20,9.2
2003-02-20,12.1
2003-02-20,6.3
2003-02-21,5.8
2003-02-21,3.6
2003-02-21,8.1
2003-02-21,5.6
2003-02-22,4.7
2003-02-22,2.5
2003-02-22,4.7
2003-02-22,5.4
2003-02-23,5.8
2003-02-23,3.1
2003-02-23,3.4
2003-02-23,6.3
2003-02-24,9.2
2003-02-24,4.9
2003-02-24,12.3
2003-02-24,9.2
2003-02-25,4.9
2003-02-25,7.6
2003-02-25,6.9
2003-02-25,6.9
2003-02-26,5.4
2003-02-26,4.9
2003-02-26,10.3
2003-02-26,4.9
2003-02-27,6.9
2003-02-27,4.7
2003-02-27,12.5
2003-02-27,4.7
2003-02-28,3.6
2003-02-28,3.8
2003-02-28,4.0
2003-02-28,4.7
2003-03-01,6.5
2003-03-01,2.5
2003-03-01,4.5
2003-03-01,8.5
2003-03-02,7.4
2003-03-02,7.6
2003-03-02,9.8
2003-03-02,6.9
2003-03-03,3.8
2003-03-03,4.0
2003-03-03,6.5
2003-03-03,4.7
2003-03-04,6.9
2003-03-04,2.2
2003-03-04,11.6
2003-03-04,5.4
2003-03-05,6.0
2003-03-05,2.7
2003-03-05,4.5
2003-03-05,2.9
2003-03-06,2.5
2003-03-06,3.4
2003-03-06,4.9
2003-03-06,4.7
2003-03-07,4.7
2003-03-07,3.1
2003-03-07,3.4
2003-03-07,5.8
2003-03-08,5.6
2003-03-08,2.9
2003-03-08,3.8
2003-03-08,6.5
2003-03-09,5.4
2003-03-09,2.7
2003-03-09,4.3
2003-03-09,5.6
2003-03-10,4.7
2003-03-10,2.7
2003-03-10,2.9
2003-03-10,5.6
2003-03-11,4.7
2003-03-11,2.9
2003-03-11,3.4
2003-03-11,4.7
2003-03-12,4.9
2003-03-12,1.6
2003-03-12,3.8
2003-03-12,3.6
2003-03-13,6.3
2003-03-13,4.7
2003-03-13,4.5
2003-03-13,8.1
2003-03-14,10.5
2003-03-14,3.6
2003-03-14,5.1
2003-03-14,6.9
2003-03-15,9.8
2003-03-15,3.8
2003-03-15,8.3
2003-03-15,6.3
2003-03-16,9.4
2003-03-16,6.7
2003-03-16,10.5
2003-03-16,5.6
2003-03-17,9.6
2003-03-17,6.5
2003-03-17,9.4
2003-03-17,11.6
2003-03-18,12.3
2003-03-18,4.0
2003-03-18,13.9
2003-03-18,8.7
2003-03-19,11.6
2003-03-19,5.1
2003-03-19,12.3
2003-03-19,6.9
2003-03-20,10.3
2003-03-20,3.6
2003-03-20,6.9
2003-03-20,8.3
2003-03-21,8.3
2003-03-21,3.8
2003-03-21,12.1
2003-03-21,4.9
2003-03-22,4.7
2003-03-22,2.9
2003-03-22,2.9
2003-03-22,5.1
2003-03-23,6.9
2003-03-23,3.8
2003-03-23,6.9
2003-03-23,6.5
2003-03-24,14.1
2003-03-24,2.9
2003-03-24,3.8
2003-03-24,12.3
2003-03-25,5.8
2003-03-25,2.9
2003-03-25,7.6
2003-03-25,5.1
2003-03-26,6.0
2003-03-26,3.6
2003-03-26,4.7
2003-03-26,7.6
2003-03-27,11.6
2003-03-27,7.6
2003-03-27,15.7
2003-03-27,9.4
2003-03-28,8.5
2003-03-28,19.5
2003-03-28,19.5
2003-03-28,9.6
2003-03-29,5.6
2003-03-29,8.7
2003-03-29,9.8
2003-03-29,5.8
2003-03-30,5.1
2003-03-30,6.7
2003-03-30,4.9
2003-03-30,4.7
2003-03-31,4.9
2003-03-31,5.1
2003-03-31,3.6
2003-03-31,5.6
2003-04-01,7.8
2003-04-01,5.6
2003-04-01,13.2
2003-04-01,8.9
2003-04-02,18.8
2003-04-02,6.9
2003-04-02,16.3
2003-04-02,11.2
2003-04-03,12.3
2003-04-03,4.7
2003-04-03,7.8
2003-04-03,11.2
2003-04-04,8.5
2003-04-04,6.3
2003-04-04,11.9
2003-04-04,7.6
2003-04-05,10.1
2003-04-05,4.5
2003-04-05,10.7
2003-04-05,10.1
2003-04-06,6.0
2003-04-06,4.0
2003-04-06,5.6
2003-04-06,5.1
2003-04-07,4.7
2003-04-07,6.9
2003-04-07,8.7
2003-04-07,5.8
2003-04-08,5.6
2003-04-08,5.6
2003-04-08,7.8
2003-04-08,7.2
2003-04-09,6.9
2003-04-09,4.9
2003-04-09,5.4
2003-04-09,7.4
2003-04-10,11.0
2003-04-10,5.6
2003-04-10,5.8
2003-04-10,8.1
2003-04-11,11.2
2003-04-11,5.8
2003-04-11,7.4
2003-04-11,9.4
2003-04-12,11.0
2003-04-12,5.6
2003-04-12,13.6
2003-04-12,7.8
2003-04-13,9.2
2003-04-13,5.8
2003-04-13,12.1
2003-04-13,9.4
2003-04-14,9.4
2003-04-14,5.6
2003-04-14,14.8
2003-04-14,9.8
2003-04-15,10.7
2003-04-15,4.3
2003-04-15,11.4
2003-04-15,10.3
2003-04-16,8.5
2003-04-16,4.7
2003-04-16,5.4
2003-04-16,6.9
2003-04-17,14.3
2003-04-17,4.3
2003-04-17,14.8
2003-04-17,11.0
2003-04-18,13.0
2003-04-18,5.1
2003-04-18,8.7
2003-04-18,11.4
2003-04-19,6.7
2003-04-19,3.6
2003-04-19,8.5
2003-04-19,6.5
2003-04-20,6.5
2003-04-20,5.1
2003-04-20,6.5
2003-04-20,8.3
2003-04-21,15.0
2003-04-21,6.7
2003-04-21,15.9
2003-04-21,9.8
2003-04-22,15.4
2003-04-22,8.3
2003-04-22,17.0
2003-04-22,10.1
2003-04-23,8.5
2003-04-23,4.7
2003-04-23,8.1
2003-04-23,8.7
2003-04-24,10.1
2003-04-24,5.6
2003-04-24,10.5
2003-04-24,8.9
2003-04-25,12.1
2003-04-25,5.6
2003-04-25,8.7
2003-04-25,8.5
2003-04-26,11.0
2003-04-26,3.8
2003-04-26,5.8
2003-04-26,8.5
2003-04-27,13.4
2003-04-27,4.7
2003-04-27,8.5
2003-04-27,9.8
2003-04-28,12.1
2003-04-28,4.7
2003-04-28,10.3
2003-04-28,11.4
2003-04-29,15.0
2003-04-29,5.8
2003-04-29,9.4
2003-04-29,11.9
2003-04-30,11.0
2003-04-30,4.9
2003-04-30,5.1
2003-04-30,11.0
2003-05-01,8.7
2003-05-01,4.5
2003-05-01,6.9
2003-05-01,9.2
2003-05-02,10.3
2003-05-02,4.9
2003-05-02,11.4
2003-05-02,6.7
2003-05-03,11.9
2003-05-03,8.5
2003-05-03,15.7
2003-05-03,9.2
2003-05-04,15.7
2003-05-04,5.4
2003-05-04,7.4
2003-05-04,14.3
2003-05-05,11.9
2003-05-05,4.7
2003-05-05,5.8
2003-05-05,13.4
2003-05-06,15.9
2003-05-06,5.1
2003-05-06,10.3
2003-05-06,14.1
2003-05-07,15.9
2003-05-07,6.9
2003-05-07,12.8
2003-05-07,12.8
2003-05-08,12.5
2003-05-08,6.3
2003-05-08,14.5
2003-05-08,12.1
2003-05-09,11.9
2003-05-09,4.3
2003-05-09,7.6
2003-05-09,11.4
2003-05-10,9.4
2003-05-10,4.3
2003-05-10,5.8
2003-05-10,4.3
2003-05-11,5.8
2003-05-11,4.5
2003-05-11,5.6
2003-05-11,5.6
2003-05-12,5.4
2003-05-12,4.7
2003-05-12,7.2
2003-05-12,6.5
2003-05-13,4.9
2003-05-13,2.7
2003-05-13,6.3
2003-05-13,5.1
2003-05-14,9.4
2003-05-14,6.7
2003-05-14,12.8
2003-05-14,10.3
2003-05-15,8.3
2003-05-15,4.0
2003-05-15,6.5
2003-05-15,6.7
2003-05-16,5.4
2003-05-16,3.8
2003-05-16,6.5
2003-05-16,5.1
2003-05-17,9.4
2003-05-17,4.7
2003-05-17,13.0
2003-05-17,9.4
2003-05-18,11.4
2003-05-18,4.9
2003-05-18,8.5
2003-05-18,9.8
2003-05-19,6.0
2003-05-19,4.0
2003-05-19,7.2
2003-05-19,6.3
2003-05-20,6.3
2003-05-20,3.8
2003-05-20,6.3
2003-05-20,6.7
2003-05-21,8.5
2003-05-21,4.0
2003-05-21,5.6
2003-05-21,8.1
2003-05-22,6.7
2003-05-22,5.4
2003-05-22,9.2
2003-05-22,5.6
2003-05-23,6.5
2003-05-23,5.8
2003-05-23,8.7
2003-05-23,7.6
2003-05-24,10.5
2003-05-24,4.7
2003-05-24,9.6
2003-05-24,10.3
2003-05-25,7.8
2003-05-25,5.6
2003-05-25,11.9
2003-05-25,8.9
2003-05-26,5.8
2003-05-26,3.8
2003-05-26,6.7
2003-05-26,5.4
2003-05-27,5.4
2003-05-27,4.0
2003-05-27,5.1
2003-05-27,6.3
2003-05-28,7.6
2003-05-28,4.3
2003-05-28,8.3
2003-05-28,6.9
2003-05-29,6.3
2003-05-29,6.5
2003-05-29,11.6
2003-05-29,6.3
2003-05-30,6.0
2003-05-30,5.6
2003-05-30,11.0
2003-05-30,8.7
2003-05-31,4.0
2003-05-31,5.8
2003-05-31,10.7
2003-05-31,5.8
2003-06-01,5.1
2003-06-01,5.4
2003-06-01,7.4
2003-06-01,5.8
2003-06-02,5.6
2003-06-02,5.8
2003-06-02,9.4
2003-06-02,6.7
2003-06-03,4.7
2003-06-03,4.9
2003-06-03,11.2
2003-06-03,7.8
2003-06-04,8.5
2003-06-04,6.0
2003-06-04,11.6
2003-06-04,9.4
2003-06-05,7.6
2003-06-05,5.8
2003-06-05,13.6
2003-06-05,8.3
2003-06-06,8.1
2003-06-06,4.9
2003-06-06,13.6
2003-06-06,7.4
2003-06-07,6.5
2003-06-07,5.6
2003-06-07,13.9
2003-06-07,7.6
2003-06-08,6.7
2003-06-08,6.0
2003-06-08,11.6
2003-06-08,6.7
2003-06-09,8.1
2003-06-09,6.7
2003-06-09,13.4
2003-06-09,9.6
2003-06-10,8.7
2003-06-10,5.8
2003-06-10,10.5
2003-06-10,9.2
2003-06-11,10.7
2003-06-11,5.6
2003-06-11,14.1
2003-06-11,9.4
2003-06-12,11.9
2003-06-12,4.7
2003-06-12,10.7
2003-06-12,9.4
2003-06-13,8.7
2003-06-13,4.3
2003-06-13,6.9
