Date,wind_speed
2003-01-01,2.7
2003-01-02,2.2
2003-01-03,2.2
2003-01-04,2.2
2003-01-05,6.3
2003-01-06,4.7
2003-01-07,3.8
2003-01-08,2.9
2003-01-09,3.4
2003-01-10,4.7
2003-01-11,1.1
2003-01-12,3.4
2003-01-13,3.6
2003-01-14,3.4
2003-01-15,2.7
2003-01-16,1.8
2003-01-17,1.1
2003-01-18,1.8
2003-01-19,2.9
2003-01-20,2.9
2003-01-21,2.7
2003-01-22,2.5
2003-01-23,1.1
2003-01-24,1.8
2003-01-25,4.3
2003-01-26,1.8
2003-01-27,4.0
2003-01-28,2.2
2003-01-29,1.8
2003-01-30,1.3
2003-01-31,2.7
2003-02-01,6.9
2003-02-02,14.1
2003-02-03,4.0
2003-02-04,10.3
2003-02-05,9.2
2003-02-06,8.7
2003-02-07,13.0
2003-02-08,2.2
2003-02-09,2.2
2003-02-10,3.4
2003-02-11,2.9
2003-02-12,4.5
2003-02-13,4.7
2003-02-14,3.4
2003-02-15,7.2
2003-02-16,5.1
2003-02-17,1.8
2003-02-18,1.1
2003-02-19,7.4
2003-02-20,6.5
2003-02-21,1.8
2003-02-22,2.9
2003-02-23,4.0
2003-02-24,5.4
2003-02-25,5.4
2003-02-26,7.4
2003-02-27,3.1
2003-02-28,4.9
2003-03-01,5.4
2003-03-02,4.9
2003-03-03,5.8
2003-03-04,3.1
2003-03-05,4.0
2003-03-06,3.1
2003-03-07,5.8
2003-03-08,3.8
2003-03-09,3.8
2003-03-10,2.9
2003-03-11,2.5
2003-03-12,5.6
2003-03-13,11.0
2003-03-14,11.6
2003-03-15,9.8
2003-03-16,4.7
2003-03-17,6.5
2003-03-18,8.5
2003-03-19,6.7
2003-03-20,2.9
2003-03-21,3.4
2003-03-22,11.4
2003-03-23,4.7
2003-03-24,2.7
2003-03-25,4.7
2003-03-26,11.4
2003-03-27,11.4
2003-03-28,14.5
2003-03-29,4.9
2003-03-30,3.4
2003-03-31,6.5
2003-04-01,10.3
2003-04-02,9.8
2003-04-03,8.5
2003-04-04,9.4
2003-04-05,4.7
2003-04-06,5.1
2003-04-07,2.5
2003-04-08,2.0
2003-04-09,4.3
2003-04-10,9.4
2003-04-11,5.8
2003-04-12,9.4
2003-04-13,8.1
2003-04-14,4.7
2003-04-15,6.3
2003-04-16,2.2
2003-04-17,4.7
2003-04-18,4.9
2003-04-19,5.4
2003-04-20,6.7
2003-04-21,9.2
2003-04-22,5.6
2003-04-23,10.5
2003-04-24,8.1
2003-04-25,9.4
2003-04-26,3.6
2003-04-27,8.3
2003-04-28,9.6
2003-04-29,7.8
2003-04-30,3.1
2003-05-01,3.8
2003-05-02,5.1
2003-05-03,6.3
2003-05-04,7.6
2003-05-05,5.4
2003-05-06,6.9
2003-05-07,7.2
2003-05-08,11.0
2003-05-09,4.0
2003-05-10,3.4
2003-05-11,4.9
2003-05-12,3.1
2003-05-13,3.8
2003-05-14,9.4
2003-05-15,9.8
2003-05-16,4.3
2003-05-17,4.7
2003-05-18,11.4
2003-05-19,5.1
2003-05-20,3.8
2003-05-21,4.0
2003-05-22,2.7
2003-05-23,5.6
2003-05-24,11.4
2003-05-25,10.3
2003-05-26,4.0
2003-05-27,2.9
2003-05-28,2.9
2003-05-29,10.7
2003-05-30,6.7
2003-05-31,4.5
2003-06-01,3.6
2003-06-02,4.7
2003-06-03,4.7
2003-06-04,7.4
2003-06-05,7.6
2003-06-06,6.9
2003-06-07,6.7
2003-06-08,8.3
2003-06-09,9.8
2003-06-10,10.3
2003-06-11,11.4
2003-06-12,7.8
2003-06-13,6.3
2003-06-14,6.0
2003-06-15,4.7
2003-06-16,5.8
2003-06-17,7.6
2003-06-18,8.1
2003-06-19,9.2
2003-06-20,6.5
