Date,wind_speed
2003-01-01,2.7
2003-01-02,0.9
2003-01-03,2.2
2003-01-04,4.3
2003-01-05,5.6
2003-01-06,3.8
2003-01-07,3.6
2003-01-08,2.2
2003-01-09,0.9
2003-01-10,5.6
2003-01-11,2.9
2003-01-12,8.9
2003-01-13,1.1
2003-01-14,4.5
2003-01-15,2.9
2003-01-16,3.1
2003-01-17,2.0
2003-01-18,3.1
2003-01-19,2.7
2003-01-20,2.2
2003-01-21,6.7
2003-01-22,7.4
2003-01-23,4.5
2003-01-24,3.6
2003-01-25,2.9
2003-01-26,1.8
2003-01-27,6.0
2003-01-28,2.0
2003-01-29,2.0
2003-01-30,2.0
2003-01-31,3.6
2003-02-01,10.1
2003-02-02,2.9
2003-02-03,4.0
2003-02-04,5.4
2003-02-05,2.5
2003-02-06,6.7
2003-02-07,4.7
2003-02-08,3.1
2003-02-09,4.0
2003-02-10,3.6
2003-02-11,2.5
2003-02-12,1.8
2003-02-13,2.7
2003-02-14,1.1
2003-02-15,6.9
2003-02-16,7.6
2003-02-17,2.7
2003-02-18,3.1
2003-02-19,5.6
2003-02-20,3.8
2003-02-21,4.3
2003-02-22,4.3
2003-02-23,3.6
2003-02-24,2.0
2003-02-25,2.7
2003-02-26,6.9
2003-02-27,1.8
2003-02-28,4.0
2003-03-01,4.5
2003-03-02,7.2
2003-03-03,8.3
2003-03-04,2.7
2003-03-05,3.1
2003-03-06,5.8
2003-03-07,8.3
2003-03-08,7.4
2003-03-09,7.6
2003-03-10,3.8
2003-03-11,2.9
2003-03-12,4.3
2003-03-13,17.7
2003-03-14,15.0
2003-03-15,13.0
2003-03-16,5.8
2003-03-17,4.7
2003-03-18,3.6
2003-03-19,7.8
2003-03-20,6.3
2003-03-21,2.7
2003-03-22,10.3
2003-03-23,10.1
2003-03-24,4.7
2003-03-25,7.4
2003-03-26,12.1
2003-03-27,4.9
2003-03-28,9.4
2003-03-29,4.0
2003-03-30,3.4
2003-03-31,10.3
2003-04-01,15.0
2003-04-02,12.8
2003-04-03,11.4
2003-04-04,8.5
2003-04-05,6.3
2003-04-06,6.9
2003-04-07,4.7
2003-04-08,4.7
2003-04-09,4.0
2003-04-10,7.8
2003-04-11,11.6
2003-04-12,9.6
2003-04-13,3.6
2003-04-14,1.8
2003-04-15,6.0
2003-04-16,1.8
2003-04-17,4.0
2003-04-18,5.6
2003-04-19,5.1
2003-04-20,4.0
2003-04-21,5.4
2003-04-22,4.9
2003-04-23,9.2
2003-04-24,17.2
2003-04-25,19.9
2003-04-26,10.7
2003-04-27,7.8
2003-04-28,9.4
2003-04-29,10.7
2003-04-30,4.3
2003-05-01,3.4
2003-05-02,2.5
2003-05-03,6.3
2003-05-04,9.6
2003-05-05,4.7
2003-05-06,4.5
2003-05-07,7.8
2003-05-08,8.5
2003-05-09,3.6
2003-05-10,4.7
2003-05-11,5.1
2003-05-12,4.7
2003-05-13,4.3
2003-05-14,4.3
2003-05-15,6.9
2003-05-16,7.4
2003-05-17,6.7
2003-05-18,3.8
2003-05-19,3.8
2003-05-20,3.8
2003-05-21,4.3
2003-05-22,4.9
2003-05-23,5.1
2003-05-24,4.5
2003-05-25,6.3
2003-05-26,4.0
2003-05-27,4.3
2003-05-28,5.1
2003-05-29,10.7
2003-05-30,7.6
2003-05-31,4.3
2003-06-01,4.3
2003-06-02,4.3
2003-06-03,4.3
2003-06-04,3.4
2003-06-05,4.0
2003-06-06,4.7
2003-06-07,4.7
2003-06-08,5.6
2003-06-09,6.7
2003-06-10,5.1
2003-06-11,6.3
2003-06-12,5.6
2003-06-13,6.5
2003-06-14,4.7
2003-06-15,4.5
2003-06-16,3.4
2003-06-17,4.3
2003-06-18,6.3
2003-06-19,5.8
2003-06-20,6.3
2003-06-21,5.1
2003-06-22,5.6
2003-06-23,3.8
2003-06-24,4.0
2003-06-25,3.6
2003-06-26,4.7
2003-06-27,4.0
2003-06-28,5.4
2003-06-29,7.4
2003-06-30,5.4
2003-07-01,7.8
2003-07-02,11.4
2003-07-03,7.8
2003-07-04,4.3
2003-07-05,5.8
2003-07-06,5.1
2003-07-07,6.9
2003-07-08,3.8
2003-07-09,4.5
2003-07-10,5.6
2003-07-11,4.9
2003-07-12,6.9
2003-07-13,7.2
2003-07-14,4.7
2003-07-15,5.4
2003-07-16,5.4
2003-07-17,4.3
2003-07-18,4.3
2003-07-19,5.6
2003-07-20,4.5
2003-07-21,4.5
2003-07-22,3.8
2003-07-23,2.2
2003-07-24,5.8
2003-07-25,4.5
2003-07-26,3.8
2003-07-27,3.6
2003-07-28,2.9
2003-07-29,4.0
2003-07-30,5.4
2003-07-31,4.7
2003-08-01,3.6
2003-08-02,4.9
2003-08-03,4.7
2003-08-04,5.4
2003-08-05,6.0
2003-08-06,5.8
2003-08-07,4.5
2003-08-08,6.0
2003-08-09,6.5
2003-08-10,6.3
2003-08-11,6.7
2003-08-12,5.4
2003-08-13,3.1
2003-08-14,5.4
2003-08-15,4.9
2003-08-16,4.0
2003-08-17,3.8
2003-08-18,4.7
2003-08-19,4.9
2003-08-20,3.4
2003-08-21,2.2
2003-08-22,5.6
2003-08-23,3.6
2003-08-24,4.3
2003-08-25,4.5
2003-08-26,3.8
2003-08-27,6.3
2003-08-28,5.8
2003-08-29,3.6
2003-08-30,3.4
2003-08-31,2.2
2003-09-01,2.9
2003-09-02,2.9
2003-09-03,3.1
2003-09-04,1.1
2003-09-05,4.5
2003-09-06,6.7
2003-09-07,10.1
2003-09-08,7.6
2003-09-09,9.6
2003-09-10,3.6
2003-09-11,3.6
2003-09-12,3.6
2003-09-13,3.6
2003-09-14,4.7
2003-09-15,6.9
2003-09-16,12.5
2003-09-17,6.9
2003-09-18,3.1
2003-09-19,4.0
2003-09-20,4.0
2003-09-21,3.6
2003-09-22,3.1
2003-09-23,3.1
2003-09-24,2.9
2003-09-25,3.4
2003-09-26,3.6
2003-09-27,3.4
2003-09-28,3.1
2003-09-29,6.7
2003-09-30,7.8
2003-10-01,3.8
2003-10-02,3.8
2003-10-03,4.7
2003-10-04,4.3
2003-10-05,3.1
2003-10-06,3.6
2003-10-07,4.7
2003-10-08,7.6
2003-10-09,11.4
2003-10-10,4.0
2003-10-11,5.4
2003-10-12,3.8
2003-10-13,2.9
2003-10-14,5.4
2003-10-15,6.0
2003-10-16,4.0
2003-10-17,3.1
2003-10-18,6.0
2003-10-19,3.4
2003-10-20,2.5
2003-10-21,2.9
2003-10-22,4.3
2003-10-23,3.8
2003-10-24,3.4
2003-10-25,3.6
2003-10-26,3.4
2003-10-27,2.9
2003-10-28,2.7
2003-10-29,15.4
2003-10-30,7.6
2003-10-31,0.4
2003-11-01,1.8
2003-11-02,7.4
2003-11-03,6.0
2003-11-04,5.4
2003-11-05,4.7
2003-11-06,2.5
2003-11-07,2.9
2003-11-08,8.5
2003-11-09,2.9
2003-11-10,0.4
2003-11-11,1.8
2003-11-12,5.6
2003-11-13,5.6
2003-11-14,8.1
2003-11-15,6.5
2003-11-16,9.4
2003-11-17,6.5
2003-11-18,2.5
2003-11-19,9.4
2003-11-20,15.2
2003-11-21,8.5
2003-11-22,3.4
2003-11-23,3.8
2003-11-24,9.2
2003-11-25,8.9
2003-11-26,4.3
2003-11-27,1.8
2003-11-28,6.5
2003-11-29,2.5
2003-11-30,9.2
2003-12-01,13.9
2003-12-02,2.0
2003-12-03,2.5
2003-12-04,6.3
2003-12-05,13.9
2003-12-06,13.6
2003-12-07,11.2
2003-12-08,2.9
2003-12-09,10.5
2003-12-10,12.3
2003-12-11,2.9
2003-12-12,8.7
2003-12-13,11.4
2003-12-14,6.0
2003-12-15,1.8
2003-12-16,1.3
2003-12-17,1.1
2003-12-18,1.3
2003-12-19,9.2
2003-12-20,5.1
2003-12-21,1.1
2003-12-22,1.8
2003-12-23,5.8
2003-12-24,13.2
2003-12-25,3.4
2003-12-26,2.7
2003-12-27,2.2
2003-12-28,8.5
2003-12-29,15.0
2003-12-30,1.3
2003-12-31,10.3
2006-01-01,13.6
2006-01-02,0.4
2006-01-03,3.6
2006-01-04,3.1
2006-01-05,2.5
2006-01-06,5.4
2006-01-07,13.4
2006-01-08,3.6
2006-01-09,2.0
2006-01-10,8.5
2006-01-11,10.3
2006-01-12,1.1
2006-01-13,11.2
2006-01-14,10.5
2006-01-15,2.2
2006-01-16,1.3
2006-01-17,11.4
2006-01-18,10.5
