,index,Date,county,tmax_left,tmin_left,Precip_right,average_left,wind_speed
0,0,2003-01-01,El Dorado,50.0,42.0,0.08000000000000017,46.0,2.7
1,1,2003-01-01,Imperial,70.0,37.0,0.0,53.5,5.6
2,2,2003-01-01,Mendocino,46.0,32.0,0.0,39.0,0.7
3,3,2003-01-01,Merced,57.0,34.0,0.00833333333333334,45.5,1.8
4,4,2003-01-01,Siskyou,45.0,28.0,0.008333333333333392,36.5,0.7
5,5,2003-01-01,Siskyou,45.0,28.0,0.008333333333333392,36.5,4.5
6,6,2003-01-02,El Dorado,44.0,29.0,0.04272727272727295,36.5,0.9
7,7,2003-01-02,Imperial,72.0,37.0,0.0,54.5,5.6
8,8,2003-01-02,Mendocino,49.0,33.0,0.0,41.0,0.9
9,9,2003-01-02,Merced,59.0,37.0,0.007142857142857136,48.0,3.6
10,10,2003-01-02,Siskyou,54.0,28.0,0.273571428571429,41.0,5.1
11,11,2003-01-02,Siskyou,54.0,28.0,0.273571428571429,41.0,9.8
12,12,2003-01-03,El Dorado,53.0,31.0,0.0,42.0,2.2
13,13,2003-01-03,Imperial,74.0,38.0,0.0,56.0,3.8
14,14,2003-01-03,Imperial,74.0,38.0,0.0,56.0,3.1
15,15,2003-01-03,Mendocino,60.0,43.0,0.06,51.5,0.7
16,16,2003-01-03,Merced,56.0,37.0,0.0,46.5,3.1
17,17,2003-01-03,Siskyou,53.0,33.0,0.1707142857142796,43.0,1.1
18,18,2003-01-03,Siskyou,53.0,33.0,0.1707142857142796,43.0,6.3
19,19,2003-01-04,El Dorado,64.0,42.0,0.0,53.0,4.3
20,20,2003-01-04,Imperial,75.0,39.0,0.0,57.0,3.1
21,21,2003-01-04,Mendocino,55.0,43.0,0.06,49.0,0.9
22,22,2003-01-04,Merced,54.0,41.0,0.0,47.5,2.5
23,23,2003-01-04,Siskyou,60.0,35.0,0.008461538461538666,47.5,3.4
24,24,2003-01-04,Siskyou,60.0,35.0,0.008461538461538666,47.5,6.5
25,25,2003-01-05,El Dorado,69.0,44.0,0.009090909090909073,56.5,5.6
26,26,2003-01-05,Imperial,81.0,41.0,0.0,61.0,4.3
27,27,2003-01-05,Mendocino,61.0,37.0,0.0,49.0,2.2
28,28,2003-01-05,Merced,61.0,40.0,0.0014285714285714294,50.5,2.9
29,29,2003-01-05,Siskyou,55.0,28.0,0.0008333333333333225,41.5,1.6
30,30,2003-01-05,Siskyou,55.0,28.0,0.0008333333333333225,41.5,2.2
31,31,2003-01-06,El Dorado,64.0,34.0,0.009090909090909075,49.0,3.8
32,32,2003-01-06,Imperial,81.0,57.0,0.0,69.0,11.4
33,33,2003-01-06,Imperial,81.0,57.0,0.0,69.0,11.6
34,34,2003-01-06,Mendocino,64.0,33.0,0.0,48.5,0.7
35,35,2003-01-06,Merced,61.0,40.0,0.004285714285714289,50.5,2.9
36,36,2003-01-06,Siskyou,40.0,23.0,0.029333333333332226,31.5,4.0
37,37,2003-01-06,Siskyou,40.0,23.0,0.029333333333332226,31.5,0.9
38,38,2003-01-07,El Dorado,67.0,34.0,0.0,50.5,3.6
39,39,2003-01-07,Imperial,76.0,47.0,0.0,61.5,5.8
40,40,2003-01-07,Imperial,76.0,47.0,0.0,61.5,5.1
41,41,2003-01-07,Mendocino,63.0,27.0,0.0,45.0,0.4
42,42,2003-01-07,Merced,56.0,36.0,0.0014285714285714294,46.0,4.7
43,43,2003-01-07,Siskyou,35.0,20.0,0.0,27.5,4.0
44,44,2003-01-07,Siskyou,35.0,20.0,0.0,27.5,0.9
45,45,2003-01-08,El Dorado,71.0,30.0,0.009090909090909068,50.5,2.2
46,46,2003-01-08,Imperial,80.0,52.0,0.0,66.0,5.4
47,47,2003-01-08,Imperial,80.0,52.0,0.0,66.0,3.1
48,48,2003-01-08,Mendocino,59.0,28.0,0.0,43.5,0.9
49,49,2003-01-08,Merced,47.0,39.0,0.0014285714285714294,43.0,2.9
50,50,2003-01-08,Siskyou,37.0,18.0,0.0,27.5,2.0
51,51,2003-01-08,Siskyou,37.0,18.0,0.0,27.5,1.6
52,52,2003-01-09,El Dorado,63.0,33.0,0.03727272727272749,48.0,0.9
53,53,2003-01-09,Imperial,74.0,43.0,0.0,58.5,2.9
54,54,2003-01-09,Imperial,74.0,43.0,0.0,58.5,3.4
55,55,2003-01-09,Mendocino,50.0,37.0,0.22,43.5,1.8
56,56,2003-01-09,Merced,47.0,41.0,0.028571428571428505,44.0,4.5
57,57,2003-01-09,Siskyou,45.0,27.0,0.0026666666666666262,36.0,1.1
58,58,2003-01-09,Siskyou,45.0,27.0,0.0026666666666666262,36.0,1.3
59,59,2003-01-10,El Dorado,51.0,31.0,0.32727272727273055,41.0,5.6
60,60,2003-01-10,Imperial,73.0,43.0,0.0,58.0,3.8
61,61,2003-01-10,Imperial,73.0,43.0,0.0,58.0,4.3
62,62,2003-01-10,Mendocino,49.0,43.0,0.72,46.0,5.1
63,63,2003-01-10,Merced,52.0,42.0,0.5457142857142852,47.0,7.6
64,64,2003-01-10,Siskyou,45.0,28.0,0.12199999999999134,36.5,1.3
65,65,2003-01-10,Siskyou,45.0,28.0,0.12199999999999134,36.5,5.8
66,66,2003-01-11,El Dorado,54.0,43.0,0.10899999999999958,48.5,2.9
67,67,2003-01-11,Imperial,72.0,48.0,0.0,60.0,5.1
68,68,2003-01-11,Imperial,72.0,48.0,0.0,60.0,4.3
69,69,2003-01-11,Mendocino,48.0,40.0,0.37,44.0,1.8
70,70,2003-01-11,Merced,57.0,44.0,0.025714285714285683,50.5,2.0
71,71,2003-01-11,Siskyou,54.0,30.0,0.14916666666666614,42.0,4.5
72,72,2003-01-11,Siskyou,54.0,30.0,0.14916666666666614,42.0,8.5
73,73,2003-01-12,El Dorado,55.0,45.0,0.009999999999999978,50.0,8.9
74,74,2003-01-12,Imperial,73.0,41.0,0.0,57.0,2.9
75,75,2003-01-12,Mendocino,50.0,44.0,1.68,47.0,8.7
76,76,2003-01-12,Merced,56.0,43.0,0.006666666666666671,49.5,3.8
77,77,2003-01-12,Siskyou,52.0,40.0,0.502727272727259,46.0,5.4
78,78,2003-01-12,Siskyou,52.0,40.0,0.502727272727259,46.0,6.5
79,79,2003-01-13,El Dorado,53.0,30.0,0.025454545454545504,41.5,1.1
80,80,2003-01-13,Imperial,76.0,41.0,0.0,58.5,3.8
81,81,2003-01-13,Imperial,76.0,41.0,0.0,58.5,3.4
82,82,2003-01-13,Mendocino,55.0,49.0,1.42,52.0,5.6
83,83,2003-01-13,Merced,57.0,39.0,0.014285714285714233,48.0,2.0
84,84,2003-01-13,Siskyou,45.0,39.0,0.6286666666666796,42.0,3.1
85,85,2003-01-13,Siskyou,45.0,39.0,0.6286666666666796,42.0,5.6
86,86,2003-01-14,El Dorado,53.0,31.0,0.0,42.0,4.5
87,87,2003-01-14,Imperial,76.0,40.0,0.0,58.0,3.8
88,88,2003-01-14,Imperial,76.0,40.0,0.0,58.0,1.8
89,89,2003-01-14,Mendocino,57.0,48.0,0.27,52.5,1.3
90,90,2003-01-14,Merced,61.0,43.0,0.0014285714285714294,52.0,1.8
91,91,2003-01-14,Siskyou,48.0,38.0,0.6406666666666329,43.0,2.5
92,92,2003-01-14,Siskyou,48.0,38.0,0.6406666666666329,43.0,2.0
93,93,2003-01-15,El Dorado,55.0,22.0,0.009090909090909068,38.5,2.9
94,94,2003-01-15,Imperial,78.0,41.0,0.0,59.5,5.6
95,95,2003-01-15,Imperial,78.0,41.0,0.0,59.5,5.1
96,96,2003-01-15,Mendocino,57.0,33.0,0.0,45.0,2.0
97,97,2003-01-15,Merced,58.0,51.0,0.008571428571428548,54.5,3.4
98,98,2003-01-15,Siskyou,46.0,32.0,0.03333333333333276,39.0,3.8
99,99,2003-01-15,Siskyou,46.0,32.0,0.03333333333333276,39.0,2.9
100,100,2003-01-16,El Dorado,58.0,41.0,0.009090909090909068,49.5,3.1
101,101,2003-01-16,Imperial,78.0,42.0,0.0,60.0,4.5
102,102,2003-01-16,Imperial,78.0,42.0,0.0,60.0,4.0
103,103,2003-01-16,Mendocino,58.0,32.0,0.0,45.0,1.1
104,104,2003-01-16,Merced,61.0,37.0,0.0014285714285714294,49.0,2.7
105,105,2003-01-16,Siskyou,45.0,31.0,0.00199999999999999,38.0,6.0
106,106,2003-01-16,Siskyou,45.0,31.0,0.00199999999999999,38.0,2.7
107,107,2003-01-17,El Dorado,65.0,35.0,0.0,50.0,2.0
